symbol,source,raw
AUDCAD,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": false, ""visible"": false, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 0, ""digits"": 5, ""spread"": 0, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 7, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 0.0, ""bidhigh"": 0.0, ""bidlow"": 0.0, ""ask"": 0.0, ""askhigh"": 0.0, ""asklow"": 0.0, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 0.7243699792105817, ""trade_tick_value_profit"": 0.7243699792105817, ""trade_tick_value_loss"": 0.7247059505605602, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 500.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": 6.4, ""swap_short"": -15.4, ""margin_initial"": 0.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 0.0, ""session_close"": 0.0, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 100000.0, ""price_change"": 0.0, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": """", ""currency_base"": ""AUD"", ""currency_profit"": ""CAD"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Canadian Dollar"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDCAD"", ""page"": ""https://www.mql5.com/en/quotes/currencies/audcad"", ""path"": ""Forex\\AUDCAD""}"
AUDCHF,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": false, ""visible"": false, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 0, ""digits"": 5, ""spread"": 0, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 7, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 0.0, ""bidhigh"": 0.0, ""bidlow"": 0.0, ""ask"": 0.0, ""askhigh"": 0.0, ""asklow"": 0.0, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 1.2560604918732887, ""trade_tick_value_profit"": 1.2560604918732887, ""trade_tick_value_loss"": 1.2575452716297786, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 500.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": 7.1, ""swap_short"": -15.8, ""margin_initial"": 0.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 0.0, ""session_close"": 0.0, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 100000.0, ""price_change"": 0.0, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": """", ""currency_base"": ""AUD"", ""currency_profit"": ""CHF"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Swiss Franc"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDCHF"", ""page"": ""https://www.mql5.com/en/quotes/currencies/audchf"", ""path"": ""Forex\\AUDCHF""}"
AUDDKK,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": false, ""visible"": false, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 0, ""digits"": 5, ""spread"": 0, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 15, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 0.0, ""bidhigh"": 0.0, ""bidlow"": 0.0, ""ask"": 0.0, ""askhigh"": 0.0, ""asklow"": 0.0, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 0.0, ""trade_tick_value_profit"": 0.0, ""trade_tick_value_loss"": 0.0, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 200.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": -11.0673, ""swap_short"": -35.7004, ""margin_initial"": 100000.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 0.0, ""session_close"": 0.0, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 0.0, ""price_change"": 0.0, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": ""Exotic"", ""currency_base"": ""AUD"", ""currency_profit"": ""DKK"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Danish Krona"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDDKK"", ""page"": """", ""path"": ""Forex\\AUDDKK""}"
AUDHKD,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": false, ""visible"": false, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 0, ""digits"": 5, ""spread"": 0, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 15, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 0.0, ""bidhigh"": 0.0, ""bidlow"": 0.0, ""ask"": 0.0, ""askhigh"": 0.0, ""asklow"": 0.0, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 0.0, ""trade_tick_value_profit"": 0.0, ""trade_tick_value_loss"": 0.0, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 100.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": 0.0, ""swap_short"": 0.0, ""margin_initial"": 100000.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 0.0, ""session_close"": 0.0, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 0.0, ""price_change"": 0.0, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": ""Exotic"", ""currency_base"": ""AUD"", ""currency_profit"": ""HKD"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Hong Kong Dollar"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDHKD"", ""page"": """", ""path"": ""Forex\\AUDHKD""}"
AUDHUF,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": false, ""visible"": false, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 0, ""digits"": 5, ""spread"": 0, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 15, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 0.0, ""bidhigh"": 0.0, ""bidlow"": 0.0, ""ask"": 0.0, ""askhigh"": 0.0, ""asklow"": 0.0, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 0.0, ""trade_tick_value_profit"": 0.0, ""trade_tick_value_loss"": 0.0, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 100.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": -9520.85, ""swap_short"": 6204.41, ""margin_initial"": 100000.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 0.0, ""session_close"": 0.0, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 0.0, ""price_change"": 0.0, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": ""Exotic"", ""currency_base"": ""AUD"", ""currency_profit"": ""HUF"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Hungarian Florint"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDHUF"", ""page"": """", ""path"": ""Forex\\AUDHUF""}"
AUDJPY,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": true, ""visible"": true, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 1766188730, ""digits"": 3, ""spread"": 158, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 7, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 104.187, ""bidhigh"": 104.315, ""bidlow"": 102.564, ""ask"": 104.345, ""askhigh"": 104.375, ""asklow"": 102.844, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 0.001, ""trade_tick_value"": 0.6340148993501348, ""trade_tick_value_profit"": 0.6340148993501348, ""trade_tick_value_loss"": 0.6340993253183178, ""trade_tick_size"": 0.001, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 500.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": 5.6, ""swap_short"": -12.8, ""margin_initial"": 0.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 102.799, ""session_close"": 102.821, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 100000.0, ""price_change"": 1.3285, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": """", ""currency_base"": ""AUD"", ""currency_profit"": ""JPY"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Yen"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDJPY"", ""page"": ""https://www.mql5.com/en/quotes/currencies/audjpy"", ""path"": ""Forex\\AUDJPY""}"
AUDNOK,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": false, ""visible"": false, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 0, ""digits"": 5, ""spread"": 0, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 15, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 0.0, ""bidhigh"": 0.0, ""bidlow"": 0.0, ""ask"": 0.0, ""askhigh"": 0.0, ""asklow"": 0.0, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 0.0, ""trade_tick_value_profit"": 0.0, ""trade_tick_value_loss"": 0.0, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 200.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": -50.4851, ""swap_short"": 1.53337027, ""margin_initial"": 100000.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 0.0, ""session_close"": 0.0, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 0.0, ""price_change"": 0.0, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": ""Exotic"", ""currency_base"": ""AUD"", ""currency_profit"": ""NOK"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Norwegian Krona"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDNOK"", ""page"": """", ""path"": ""Forex\\AUDNOK""}"
AUDNZD,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": true, ""visible"": true, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 1766188739, ""digits"": 5, ""spread"": 108, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 7, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 1.14741, ""bidhigh"": 1.1508, ""bidlow"": 1.1431499999999999, ""ask"": 1.14849, ""askhigh"": 1.15103, ""asklow"": 1.14478, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 0.57546, ""trade_tick_value_profit"": 0.57546, ""trade_tick_value_loss"": 0.57597, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 500.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": -2.5, ""swap_short"": -15.2, ""margin_initial"": 0.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 1.14507, ""session_close"": 1.14431, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 100000.0, ""price_change"": 0.2709, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": """", ""currency_base"": ""AUD"", ""currency_profit"": ""NZD"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs New Zealand Dollar"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDNZD"", ""page"": ""https://www.mql5.com/en/quotes/currencies/audnzd"", ""path"": ""Forex\\AUDNZD""}"
AUDPLN,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": false, ""visible"": false, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 0, ""digits"": 5, ""spread"": 0, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 0, ""trade_freeze_level"": 0, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 3, ""margin_hedged_use_leg"": false, ""expiration_mode"": 15, ""filling_mode"": 1, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 0.0, ""bidhigh"": 0.0, ""bidlow"": 0.0, ""ask"": 0.0, ""askhigh"": 0.0, ""asklow"": 0.0, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 0.0, ""trade_tick_value_profit"": 0.0, ""trade_tick_value_loss"": 0.0, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 200.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": -66.0504, ""swap_short"": 2.71660431, ""margin_initial"": 100000.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 0.0, ""session_close"": 0.0, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 0.0, ""price_change"": 0.0, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": ""Exotic"", ""currency_base"": ""AUD"", ""currency_profit"": ""PLN"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Zloty"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDPLN"", ""page"": """", ""path"": ""Forex\\AUDPLN""}"
AUDSEK,MT5,"{""custom"": false, ""chart_mode"": 0, ""select"": false, ""visible"": false, ""session_deals"": 0, ""session_buy_orders"": 0, ""session_sell_orders"": 0, ""volume"": 0, ""volumehigh"": 0, ""volumelow"": 0, ""time"": 0, ""digits"": 5, ""spread"": 0, ""spread_float"": true, ""ticks_bookdepth"": 32, ""trade_calc_mode"": 0, ""trade_mode"": 4, ""start_time"": 0, ""expiration_time"": 0, ""trade_stops_level"": 100, ""trade_freeze_level"": 20, ""trade_exemode"": 2, ""swap_mode"": 1, ""swap_rollover3days"": 5, ""margin_hedged_use_leg"": false, ""expiration_mode"": 15, ""filling_mode"": 0, ""order_mode"": 127, ""order_gtc_mode"": 0, ""option_mode"": 0, ""option_right"": 0, ""bid"": 0.0, ""bidhigh"": 0.0, ""bidlow"": 0.0, ""ask"": 0.0, ""askhigh"": 0.0, ""asklow"": 0.0, ""last"": 0.0, ""lasthigh"": 0.0, ""lastlow"": 0.0, ""volume_real"": 0.0, ""volumehigh_real"": 0.0, ""volumelow_real"": 0.0, ""option_strike"": 0.0, ""point"": 1e-05, ""trade_tick_value"": 0.10776268501505985, ""trade_tick_value_profit"": 0.10776268501505985, ""trade_tick_value_loss"": 0.10802215750494742, ""trade_tick_size"": 1e-05, ""trade_contract_size"": 100000.0, ""trade_accrued_interest"": 0.0, ""trade_face_value"": 0.0, ""trade_liquidity_rate"": 0.0, ""volume_min"": 0.01, ""volume_max"": 100.0, ""volume_step"": 0.01, ""volume_limit"": 0.0, ""swap_long"": 3.02, ""swap_short"": -40.177, ""margin_initial"": 0.0, ""margin_maintenance"": 0.0, ""session_volume"": 0.0, ""session_turnover"": 0.0, ""session_interest"": 0.0, ""session_buy_orders_volume"": 0.0, ""session_sell_orders_volume"": 0.0, ""session_open"": 0.0, ""session_close"": 0.0, ""session_aw"": 0.0, ""session_price_settlement"": 0.0, ""session_price_limit_min"": 0.0, ""session_price_limit_max"": 0.0, ""margin_hedged"": 100000.0, ""price_change"": 0.0, ""price_volatility"": 0.0, ""price_theoretical"": 0.0, ""price_greeks_delta"": 0.0, ""price_greeks_theta"": 0.0, ""price_greeks_gamma"": 0.0, ""price_greeks_vega"": 0.0, ""price_greeks_rho"": 0.0, ""price_greeks_omega"": 0.0, ""price_sensitivity"": 0.0, ""basis"": """", ""category"": """", ""currency_base"": ""AUD"", ""currency_profit"": ""SEK"", ""currency_margin"": ""AUD"", ""bank"": """", ""description"": ""Australian Dollar vs Sweden Krona"", ""exchange"": """", ""formula"": """", ""isin"": """", ""name"": ""AUDSEK"", ""page"": """", ""path"": ""Forex\\AUDSEK""}"
